,Year,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Percent,Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Percent,Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Percent,Median Household Income in Dollars,Unemployment Rate,Population,SNAP($/Person)
62,2003,"Palm Beach County, FL (PB)","1,226,256","133,704",10.9,"270,623","43,091",15.9,"193,668","28,380",14.7,"$43,014 ",4.2,1218100,79.05
116,2003,"Borough of Staten Island, NY (NYK)","459,876","46,341",10.1,"112,752","15,486",13.7,"82,926","10,923",13.2,"$54,252 ",6.7,455939,97.29
107,2003,"Borough of Queens, NY (NYJ)","2,232,102","343,227",15.4,"495,612","103,820",20.9,"345,385","72,869",21.1,"$38,041 ",6.6,2214608,97.29
98,2003,"Borough of Manhattan, NY (NYI)","1,526,547","285,247",18.7,"266,242","82,291",30.9,"169,030","58,434",34.6,"$43,930 ",6.6,1562154,97.29
89,2003,"Borough of Brooklyn, NY (NYH)","2,466,561","576,485",23.4,"645,369","214,819",33.3,"449,727","148,920",33.1,"$30,672 ",8.1,2472999,97.29
80,2003,"Borough of Bronx, NY (NYG)","1,332,100","358,546",26.9,"396,990","148,488",37.4,"278,321","106,084",38.1,"$27,855 ",9.9,1362373,97.29
71,2003,"Chicago, IL (CH)","5,269,889","767,945",14.6,"1,373,701","282,891",20.6,"968,540","187,139",19.3,"$42,723 ",6.4,5294739,91.97
53,2003,"Orange County, FL (OL)","970,511","128,263",13.2,"255,604","48,619",19,"178,251","30,768",17.3,"$40,671 ",3.8,202687,79.05
44,2003,"Miami-Dade County, FL (MM)","2,321,620","439,775",18.9,"585,548","156,395",26.7,"413,367","103,487",25,"$33,054 ",3,2336070,79.05
35,2003,"Broward County, FL (FT)","1,739,081","217,958",12.5,"430,317","75,002",17.4,"306,884","50,166",16.3,"$42,673 ",4,1707543,79.05
26,2003,"San Francisco, CA (SF)","736,815","88,476",12,"108,672","20,041",18.4,"69,249","13,285",19.2,"$51,402 ",5.7,766160,88.07
17,2003,"San Diego, CA (SA)","2,847,822","331,677",11.6,"754,760","114,706",15.2,"531,375","78,281",14.7,"$48,766 ",4.5,2914702,88.07
125,2003,"Philadelphia, PA (PH)","1,436,501","290,628",20.2,"369,447","106,273",28.8,"261,753","70,931",27.1,"$30,517 ",6.7,1493802,79.56
8,2003,"Los Angeles, CA (LO)","9,801,990","1,729,767",17.6,"2,720,905","693,408",25.5,"1,948,372","486,099",24.9,"$41,544 ",7.1,9767145,88.07
34,2005,"Broward County, FL (FT)","1,751,097","196,254",11.2,"428,399","64,747",15.1,"308,314","41,975",13.6,"$46,618 ",2.2,1746896,96.37
124,2005,"Philadelphia, PA (PH)","1,399,821","339,111",24.2,"363,923","128,662",35.4,"254,620","85,700",33.7,"$32,671 ",6.1,1490861,88.28
88,2005,"Borough of Brooklyn, NY (NYH)","2,436,779","543,406",22.3,"639,690","197,370",30.9,"445,392","133,856",30.1,"$37,098 ",5.6,2445809,101.43
106,2005,"Borough of Queens, NY (NYJ)","2,207,548","267,880",12.1,"490,287","82,197",16.8,"342,625","55,910",16.3,"$47,486 ",4.7,2185222,101.43
25,2005,"San Francisco, CA (SF)","716,922","87,324",12.2,"106,510","15,809",14.8,"66,661","10,454",15.7,"$57,476 ",4.2,763016,96.83
43,2005,"Miami-Dade County, FL (MM)","2,319,215","414,814",17.9,"576,668","131,556",22.8,"408,805","88,751",21.7,"$37,142 ",1.8,2385872,96.37
97,2005,"Borough of Manhattan, NY (NYI)","1,525,640","272,161",17.8,"265,071","79,387",29.9,"166,201","55,327",33.3,"$55,561 ",4.6,1573573,101.43
70,2005,"Chicago, IL (CH)","5,188,478","780,189",15,"1,348,704","289,146",21.4,"948,910","191,551",20.2,"$48,919 ",5.3,5207615,100.73
115,2005,"Borough of Staten Island, NY (NYK)","454,412","49,690",10.9,"111,143","17,639",15.9,"82,173","12,918",15.7,"$62,279 ",4.7,457028,101.43
61,2005,"Palm Beach County, FL (PB)","1,243,464","136,998",11,"270,948","43,087",15.9,"194,230","28,352",14.6,"$48,086 ",2.5,1278380,96.37
16,2005,"San Diego, CA (SA)","2,812,248","310,376",11,"744,797","116,761",15.7,"522,642","77,960",14.9,"$56,224 ",3.8,2938375,96.83
52,2005,"Orange County, FL (OL)","998,284","126,825",12.7,"260,312","45,360",17.4,"182,080","30,169",16.6,"$44,183 ",2.2,228026,96.37
7,2005,"Los Angeles, CA (LO)","9,714,769","1,574,523",16.2,"2,683,068","624,433",23.3,"1,928,664","438,828",22.8,"$48,166 ",4.8,9786373,96.83
79,2005,"Borough of Bronx, NY (NYG)","1,302,084","376,517",28.9,"387,635","152,744",39.4,"272,402","107,045",39.3,"$29,331 ",6.9,1351736,101.43
78,2007,"Borough of Bronx, NY (NYG)","1,331,217","360,373",27.1,"377,874","143,850",38.1,"270,090","102,724",38,"$34,031 ",6.5,1354056,107.49
51,2007,"Orange County, FL (OL)","1,043,469","121,248",11.6,"264,691","41,225",15.6,"183,321","25,922",14.1,"$50,988 ",3.7,253722,94.65
42,2007,"Miami-Dade County, FL (MM)","2,341,282","357,194",15.3,"536,649","108,522",20.2,"379,976","72,504",19.1,"$43,495 ",3,2415576,94.65
87,2007,"Borough of Brooklyn, NY (NYH)","2,500,343","548,119",21.9,"628,583","199,098",31.7,"440,010","133,114",30.3,"$41,304 ",5.2,2441324,107.49
96,2007,"Borough of Manhattan, NY (NYI)","1,573,425","278,814",17.7,"267,308","74,411",27.8,"171,094","53,178",31.1,"$63,704 ",4.2,1581402,107.49
69,2007,"Chicago, IL (CH)","5,195,148","759,038",14.6,"1,302,186","281,408",21.6,"921,792","193,462",21,"$52,554 ",5.5,5154235,104.65
6,2007,"Los Angeles, CA (LO)","9,717,419","1,423,245",14.6,"2,539,162","536,561",21.1,"1,830,336","368,973",20.2,"$53,494 ",5.6,9700359,104.56
15,2007,"San Diego, CA (SA)","2,879,876","319,404",11.1,"729,126","108,955",14.9,"508,198","70,905",14,"$61,724 ",4.8,2975742,104.56
123,2007,"Philadelphia, PA (PH)","1,397,787","328,057",23.5,"356,204","121,011",34,"249,913","81,430",32.6,"$35,431 ",6.2,1493309,92.4
105,2007,"Borough of Queens, NY (NYJ)","2,249,095","273,346",12.2,"478,973","82,720",17.3,"338,854","55,771",16.5,"$52,944 ",4.4,2177351,107.49
114,2007,"Borough of Staten Island, NY (NYK)","474,879","47,753",10.1,"113,562","14,920",13.1,"84,350","10,186",12.1,"$66,384 ",4.3,459642,107.49
60,2007,"Palm Beach County, FL (PB)","1,246,363","127,311",10.2,"264,304","40,047",15.2,"187,987","24,516",13,"$53,500 ",4.2,1286586,94.65
24,2007,"San Francisco, CA (SF)","754,436","80,277",10.6,"107,098","13,567",12.7,"67,389","9,216",13.7,"$67,333 ",4.2,778673,104.56
33,2007,"Broward County, FL (FT)","1,741,031","197,760",11.4,"409,588","63,876",15.6,"295,664","39,933",13.5,"$52,504 ",3.4,1720825,94.65
14,2009,"San Diego, CA (SA)","2,973,267","372,782",12.5,"727,676","122,455",16.8,"500,495","82,241",16.4,"$60,103 ",10.3,3061203,136.75
50,2009,"Orange County, FL (OL)","1,063,297","151,852",14.3,"262,520","50,308",19.2,"181,675","31,667",17.4,"$46,826 ",10.6,265267,126.7
122,2009,"Philadelphia, PA (PH)","1,494,227","366,125",24.5,"355,079","116,298",32.8,"246,157","77,073",31.3,"$36,959 ",9.5,1514694,118.4
5,2009,"Los Angeles, CA (LO)","9,690,311","1,552,196",16,"2,459,401","561,661",22.8,"1,736,352","374,513",21.6,"$54,375 ",12.1,9787400,136.75
77,2009,"Borough of Bronx, NY (NYG)","1,354,080","383,691",28.3,"379,582","149,646",39.4,"270,340","106,325",39.3,"$32,888 ",13.3,1376261,141.9
86,2009,"Borough of Brooklyn, NY (NYH)","2,540,012","550,617",21.7,"624,028","194,796",31.2,"430,438","129,683",30.1,"$42,932 ",10.6,2487751,141.9
41,2009,"Miami-Dade County, FL (MM)","2,455,265","433,363",17.7,"566,591","135,992",24,"399,165","90,563",22.7,"$41,367 ",11,2463943,126.7
104,2009,"Borough of Queens, NY (NYJ)","2,284,925","293,729",12.9,"486,199","81,381",16.7,"338,948","56,991",16.8,"$54,671 ",8.9,2217166,141.9
59,2009,"Palm Beach County, FL (PB)","1,259,311","180,884",14.4,"265,223","57,017",21.5,"188,307","35,681",18.9,"$49,660 ",10.5,1307371,126.7
68,2009,"Chicago, IL (CH)","5,185,337","828,626",16,"1,264,104","293,688",23.2,"885,227","202,770",22.9,"$52,516 ",11.4,5181728,132.36
95,2009,"Borough of Manhattan, NY (NYI)","1,580,249","262,350",16.6,"253,529","64,362",25.4,"161,679","43,609",27,"$68,295 ",8.6,1583431,141.9
32,2009,"Broward County, FL (FT)","1,748,876","227,374",13,"403,553","65,816",16.3,"289,581","43,896",15.2,"$48,772 ",9.1,1733310,126.7
113,2009,"Borough of Staten Island, NY (NYK)","484,790","55,407",11.4,"112,667","17,658",15.7,"83,269","11,435",13.7,"$65,388 ",8.7,466965,141.9
23,2009,"San Francisco, CA (SF)","803,979","94,134",11.7,"115,049","16,221",14.1,"73,936","11,056",15,"$70,247 ",9.3,801922,136.75
4,2011,"Los Angeles, CA (LO)","9,735,899","1,788,681",18.4,"2,339,597","606,778",25.9,"1,695,817","426,432",25.1,"$52,239 ",11.5,"9,876,482",147.06
85,2011,"Borough of Brooklyn, NY (NYH)","2,508,405","593,162",23.6,"591,061","199,819",33.8,"410,026","136,510",33.3,"$42,437 ",9.6,"2,540,817",148.63
94,2011,"Borough of Manhattan, NY (NYI)","1,551,317","286,081",18.4,"233,284","62,217",26.7,"154,361","44,469",28.8,"$65,833 ",7.9,"1,608,293",148.63
103,2011,"Borough of Queens, NY (NYJ)","2,222,941","355,276",16,"456,733","99,533",21.8,"322,022","71,372",22.2,"$53,124 ",8.1,"2,255,482",148.63
112,2011,"Borough of Staten Island, NY (NYK)","464,507","58,103",12.5,"107,057","19,764",18.5,"78,942","12,607",16,"$69,436 ",9.1,"471,021",148.63
121,2011,"Philadelphia, PA (PH)","1,487,011","414,826",27.9,"340,408","131,573",38.7,"236,622","91,341",38.6,"$34,433 ",10.1,"1,540,466",128.4
76,2011,"Borough of Bronx, NY (NYG)","1,353,292","410,645",30.3,"360,483","147,310",40.9,"256,555","105,124",41,"$32,137 ",12.1,"1,397,335",148.63
67,2011,"Chicago, IL (CH)","5,130,885","912,067",17.8,"1,210,090","321,321",26.6,"867,647","225,464",26,"$50,806 ",9.8,"5,219,780",139.15
13,2011,"San Diego, CA (SA)","3,048,226","462,997",15.2,"716,487","137,647",19.2,"510,168","93,841",18.4,"$59,290 ",9.7,"3,137,156",147.06
22,2011,"San Francisco, CA (SF)","797,283","110,260",13.8,"106,835","17,137",16,"70,721","12,378",17.5,"$69,354 ",7.3,"815,650",147.06
40,2011,"Miami-Dade County, FL (MM)","2,516,810","527,000",20.9,"538,777","155,644",28.9,"387,809","110,156",28.4,"$40,476 ",7.7,"2,544,531",139.55
58,2011,"Palm Beach County, FL (PB)","1,315,886","207,441",15.8,"267,232","64,529",24.1,"196,311","43,819",22.3,"$48,973 ",9,"1,336,760",139.55
31,2011,"Broward County, FL (FT)","1,764,749","263,435",14.9,"387,789","79,527",20.5,"283,380","53,929",19,"$48,478 ",8.7,"1,786,980",139.55
49,2011,"Orange County, FL (OL)","1,142,541","210,885",18.5,"269,702","69,633",25.8,"194,917","47,746",24.5,"$44,635 ",9,"1,170,579",139.55
93,2013,"Borough of Manhattan, NY (NYI)","1,575,165","298,968",19,"234,440","62,281",26.6,"151,562","43,340",28.6,"$71,443 ",6.4,"1,627,491",147.75
84,2013,"Borough of Brooklyn, NY (NYH)","2,565,981","597,129",23.3,"596,828","198,970",33.3,"406,242","136,288",33.5,"$47,067 ",8.2,"2,587,684",147.75
3,2013,"Los Angeles, CA (LO)","9,858,931","1,872,964",19,"2,284,182","624,784",27.4,"1,648,913","439,258",26.6,"$54,443 ",8.6,"9,992,484",151.44
120,2013,"Philadelphia, PA (PH)","1,502,340","390,541",26,"337,832","122,649",36.3,"230,983","79,210",34.3,"$36,918 ",8.5,"1,558,313",128.32
102,2013,"Borough of Queens, NY (NYJ)","2,270,393","350,774",15.4,"461,868","99,825",21.6,"321,654","71,221",22.1,"$56,307 ",6.6,"2,287,185",147.75
48,2013,"Orange County, FL (OL)","1,197,521","217,956",18.2,"276,295","71,808",26,"199,605","49,895",25,"$46,675 ",6.2,"1,227,435",138.39
39,2013,"Miami-Dade County, FL (MM)","2,577,762","541,443",21,"536,151","148,833",27.8,"383,137","101,841",26.6,"$41,840 ",7.7,"2,609,692",138.39
30,2013,"Broward County, FL (FT)","1,822,973","276,804",15.2,"395,952","77,062",19.5,"288,591","51,909",18,"$50,343 ",6.2,"1,836,600",138.39
75,2013,"Borough of Bronx, NY (NYG)","1,381,104","423,904",30.7,"357,200","148,624",41.6,"251,642","106,540",42.3,"$33,079 ",10.4,"1,421,928",147.75
21,2013,"San Francisco, CA (SF)","822,030","113,217",13.8,"109,551","15,760",14.4,"71,476","10,527",14.7,"$76,933 ",4.6,"839,572",151.44
57,2013,"Palm Beach County, FL (PB)","1,351,179","202,396",15,"266,388","60,375",22.7,"196,165","42,336",21.6,"$51,768 ",6.4,"1,376,462",138.39
12,2013,"San Diego, CA (SA)","3,121,289","476,184",15.3,"716,045","138,588",19.4,"506,773","99,017",19.5,"$61,365 ",6.9,"3,209,768",151.44
111,2013,"Borough of Staten Island, NY (NYK)","467,253","61,332",13.1,"105,425","20,022",19,"77,761","14,331",18.4,"$68,621 ",7.7,"471,803",147.75
66,2013,"Chicago, IL (CH)","5,152,225","918,295",17.8,"1,181,497","307,598",26,"845,794","218,901",25.9,"$53,795 ",8.7,"5,252,875",137.99
20,2015,"San Francisco, CA (SF)","849,842","105,244",12.4,"113,261","15,281",13.5,"73,486","10,655",14.5,"$90,527 ",3.2,"863,010",142
2,2015,"Los Angeles, CA (LO)","10,011,595","1,675,802",16.7,"2,243,079","527,528",23.5,"1,607,022","366,512",22.8,"$59,045 ",5.5,"10,085,416",142
101,2015,"Borough of Queens, NY (NYJ)","2,313,637","320,712",13.9,"468,454","91,614",19.6,"322,701","63,760",19.8,"$60,241 ",4.4,"2,305,838",138.09
110,2015,"Borough of Staten Island, NY (NYK)","469,052","66,586",14.2,"103,761","19,023",18.3,"76,540","13,564",17.7,"$71,058 ",5,"472,349",138.09
29,2015,"Broward County, FL (FT)","1,881,018","263,607",14,"402,969","81,928",20.3,"291,491","54,609",18.7,"$53,624 ",4.6,"1,885,040",129.66
92,2015,"Borough of Manhattan, NY (NYI)","1,593,702","280,715",17.6,"235,575","58,664",24.9,"152,697","41,572",27.2,"$75,136 ",4.3,"1,636,063",138.09
65,2015,"Chicago, IL (CH)","5,151,018","833,241",16.2,"1,160,221","272,281",23.5,"827,122","188,117",22.7,"$56,841 ",6,"5,244,088",134.78
47,2015,"Orange County, FL (OL)","1,259,523","196,882",15.6,"286,677","64,759",22.6,"207,280","44,113",21.3,"$50,593 ",4.5,"1,291,301",129.66
11,2015,"San Diego, CA (SA)","3,203,252","445,948",13.9,"718,060","127,566",17.8,"503,383","86,578",17.2,"$67,053 ",4.7,"3,280,850",142
56,2015,"Palm Beach County, FL (PB)","1,402,201","189,355",13.5,"272,897","56,828",20.8,"200,550","39,092",19.5,"$56,638 ",4.7,"1,424,256",129.66
74,2015,"Borough of Bronx, NY (NYG)","1,418,250","430,291",30.3,"360,139","153,531",42.6,"253,806","109,318",43.1,"$35,102 ",6.9,"1,440,005",138.09
83,2015,"Borough of Brooklyn, NY (NYH)","2,610,863","581,684",22.3,"603,265","190,141",31.5,"406,112","125,735",31,"$51,026 ",5.1,"2,608,794",138.09
38,2015,"Miami-Dade County, FL (MM)","2,653,251","529,850",20,"543,776","148,213",27.3,"387,342","102,636",26.5,"$43,687 ",6.2,"2,659,839",129.66
119,2015,"Philadelphia, PA (PH)","1,517,222","385,781",25.4,"340,474","130,851",38.4,"232,109","89,014",38.4,"$41,210 ",6.2,"1,571,065",123.16
46,2017,"Orange County, FL (OL)","1,321,373","201,528",15.3,"298,268","65,440",21.9,"215,275","44,755",20.8,"$54,021 ",3.4,"1,355,921",125.09
10,2017,"San Diego, CA (SA)","3,243,699","385,479",11.9,"718,499","112,637",15.7,"506,837","73,529",14.5,"$76,048 ",3.4,"3,321,237",136.44
109,2017,"Borough of Staten Island, NY (NYK)","474,043","56,434",11.9,"103,786","17,390",16.8,"76,525","11,940",15.6,"$78,466 ",3.9,"475,671",135.63
