year,sitename,sex,violence score
2003,"Borough of Bronx, NY (NYG)",Female,36.23370578524969
2003,"Borough of Bronx, NY (NYG)",Male,65.04156179161069
2003,"Borough of Brooklyn, NY (NYH)",Female,26.60371068010246
2003,"Borough of Brooklyn, NY (NYH)",Male,69.02849882425983
2003,"Borough of Manhattan, NY (NYI)",Female,26.29505964448126
2003,"Borough of Manhattan, NY (NYI)",Male,57.48104953274578
2003,"Borough of Queens, NY (NYJ)",Female,28.401844064069063
2003,"Borough of Queens, NY (NYJ)",Male,65.46483797761066
2003,"Borough of Staten Island, NY (NYK)",Female,31.17545925172252
2003,"Borough of Staten Island, NY (NYK)",Male,70.26698423940047
2003,"Broward County, FL (FT)",Female,25.744168254644833
2003,"Broward County, FL (FT)",Male,55.92427798630777
2003,"Chicago, IL (CH)",Female,42.51469888793956
2003,"Chicago, IL (CH)",Male,72.29351903285868
2003,"Los Angeles, CA (LO)",Female,29.59153096241813
2003,"Los Angeles, CA (LO)",Male,69.84511728796753
2003,"Miami-Dade County, FL (MM)",Female,25.41420964793992
2003,"Miami-Dade County, FL (MM)",Male,57.096056901877915
2003,"New York City, NY (NYC)",Female,29.552752634676366
2003,"New York City, NY (NYC)",Male,65.51477055639063
2003,"Orange County, FL (OL)",Female,19.823921029657374
2003,"Orange County, FL (OL)",Male,47.43763944582949
2003,"Palm Beach County, FL (PB)",Female,24.97011105505919
2003,"Palm Beach County, FL (PB)",Male,76.92979749798185
2003,"Philadelphia, PA (PH)",Female,29.738383942813336
2003,"Philadelphia, PA (PH)",Male,64.11987916456394
2003,"San Diego, CA (SA)",Female,25.135719252317344
2003,"San Diego, CA (SA)",Male,60.0278362223932
2005,"Borough of Bronx, NY (NYG)",Female,30.458105105085547
2005,"Borough of Bronx, NY (NYG)",Male,61.03419471713596
2005,"Borough of Brooklyn, NY (NYH)",Female,39.91483339405446
2005,"Borough of Brooklyn, NY (NYH)",Male,63.2892496546383
2005,"Borough of Manhattan, NY (NYI)",Female,31.182865490065662
2005,"Borough of Manhattan, NY (NYI)",Male,59.75537411765902
2005,"Borough of Queens, NY (NYJ)",Female,28.23972552720428
2005,"Borough of Queens, NY (NYJ)",Male,64.0339822476508
2005,"Borough of Staten Island, NY (NYK)",Female,21.549175758088293
2005,"Borough of Staten Island, NY (NYK)",Male,66.48542629715824
2005,"Broward County, FL (FT)",Female,27.02932498407614
2005,"Broward County, FL (FT)",Male,61.65445471163922
2005,"Chicago, IL (CH)",Female,39.19144881824294
2005,"Chicago, IL (CH)",Male,69.04889582271977
2005,"Los Angeles, CA (LO)",Female,30.685109819243493
2005,"Los Angeles, CA (LO)",Male,63.05045223484661
2005,"Miami-Dade County, FL (MM)",Female,25.101082195080508
2005,"Miami-Dade County, FL (MM)",Male,52.62415761218576
2005,"New York City, NY (NYC)",Female,30.861048810762234
2005,"New York City, NY (NYC)",Male,62.49613392304384
2005,"Orange County, FL (OL)",Female,28.01693082688986
2005,"Orange County, FL (OL)",Male,64.73741625371966
2005,"Palm Beach County, FL (PB)",Female,31.423315728091325
2005,"Palm Beach County, FL (PB)",Male,62.94116292241539
2005,"San Diego, CA (SA)",Female,32.34507636103035
2005,"San Diego, CA (SA)",Male,63.13429021428317
2005,"San Francisco, CA (SF)",Female,28.145330477437568
2005,"San Francisco, CA (SF)",Male,51.91632970441004
2007,"Borough of Bronx, NY (NYG)",Female,36.14566443117993
2007,"Borough of Bronx, NY (NYG)",Male,56.38293069731104
