"","...1","year","sitename","violence score","All Ages in Poverty Percent","Under Age 18 in Poverty Percent","Median Household Income in Dollars","Unemployment Rate","Population","SNAP($/Person)"
"1",0,2003,"Borough of Bronx, NY (NYG)",50.4038116255182,26.9,37.4,"27855 ",9.9,1362373,97.29
"2",1,2003,"Borough of Brooklyn, NY (NYH)",49.5525461758669,23.4,33.3,"30672 ",8.1,2472999,97.29
"3",2,2003,"Borough of Manhattan, NY (NYI)",41.2350278301339,18.7,30.9,"43930 ",6.6,1562154,97.29
"4",3,2003,"Borough of Queens, NY (NYJ)",45.5869622782311,15.4,20.9,"38041 ",6.6,2214608,97.29
"5",4,2003,"Borough of Staten Island, NY (NYK)",51.8289912082899,10.1,13.7,"54252 ",6.7,455939,97.29
"6",5,2003,"Broward County, FL (FT)",40.1866297528048,12.5,17.4,"42673 ",4,1707543,79.05
"7",6,2003,"Chicago, IL (CH)",57.5898148485253,14.6,20.6,"42723 ",6.4,5294739,91.97
"8",7,2003,"Los Angeles, CA (LO)",48.9260301449227,17.6,25.5,"41544 ",7.1,9767145,88.07
"9",8,2003,"Miami-Dade County, FL (MM)",40.9601667945585,18.9,26.7,"33054 ",3,2336070,79.05
"10",9,2003,"Orange County, FL (OL)",33.646067673107,13.2,19,"40671 ",3.8,202687,79.05
"11",10,2003,"Palm Beach County, FL (PB)",50.8861471888872,10.9,15.9,"43014 ",4.2,1218100,79.05
"12",11,2003,"Philadelphia, PA (PH)",45.2569693324132,20.2,28.8,"30517 ",6.7,1493802,79.56
"13",12,2003,"San Diego, CA (SA)",42.3492914486524,11.6,15.2,"48766 ",4.5,2914702,88.07
"14",13,2005,"Borough of Bronx, NY (NYG)",46.5522090039155,28.9,39.4,"29331 ",6.9,1351736,101.43
"15",14,2005,"Borough of Brooklyn, NY (NYH)",51.3571595649292,22.3,30.9,"37098 ",5.6,2445809,101.43
"16",15,2005,"Borough of Manhattan, NY (NYI)",45.3881618916311,17.8,29.9,"55561 ",4.6,1573573,101.43
"17",16,2005,"Borough of Queens, NY (NYJ)",46.0279369363972,12.1,16.8,"47486 ",4.7,2185222,101.43
"18",17,2005,"Borough of Staten Island, NY (NYK)",43.9278300367906,10.9,15.9,"62279 ",4.7,457028,101.43
"19",18,2005,"Broward County, FL (FT)",44.5260104115375,11.2,15.1,"46618 ",2.2,1746896,96.37
"20",19,2005,"Chicago, IL (CH)",54.7875662637581,15,21.4,"48919 ",5.3,5207615,100.73
"21",20,2005,"Los Angeles, CA (LO)",45.7358120698383,16.2,23.3,"48166 ",4.8,9786373,96.83
"22",21,2005,"Miami-Dade County, FL (MM)",38.2947669598088,17.9,22.8,"37142 ",1.8,2385872,96.37
"23",22,2005,"Orange County, FL (OL)",46.4482500413299,12.7,17.4,"44183 ",2.2,228026,96.37
"24",23,2005,"Palm Beach County, FL (PB)",47.7762203533129,11,15.9,"48086 ",2.5,1278380,96.37
"25",24,2005,"San Diego, CA (SA)",48.172910737723,11,15.7,"56224 ",3.8,2938375,96.83
"26",25,2005,"San Francisco, CA (SF)",40.838701782641,12.2,14.8,"57476 ",4.2,763016,96.83
"27",26,2007,"Borough of Bronx, NY (NYG)",47.1747729928976,27.1,38.1,"34031 ",6.5,1354056,107.49
"28",27,2007,"Borough of Brooklyn, NY (NYH)",43.6354034197763,21.9,31.7,"41304 ",5.2,2441324,107.49
"29",28,2007,"Borough of Manhattan, NY (NYI)",33.6167729365371,17.7,27.8,"63704 ",4.2,1581402,107.49
"30",29,2007,"Borough of Queens, NY (NYJ)",40.8198914184723,12.2,17.3,"52944 ",4.4,2177351,107.49
"31",30,2007,"Borough of Staten Island, NY (NYK)",34.2631881740615,10.1,13.1,"66384 ",4.3,459642,107.49
"32",31,2007,"Broward County, FL (FT)",40.4118598312018,11.4,15.6,"52504 ",3.4,1720825,94.65
"33",32,2007,"Chicago, IL (CH)",52.9304216938681,14.6,21.6,"52554 ",5.5,5154235,104.65
"34",33,2007,"Los Angeles, CA (LO)",47.568710359408,14.6,21.1,"53494 ",5.6,9700359,104.56
"35",34,2007,"Miami-Dade County, FL (MM)",46.8459872257337,15.3,20.2,"43495 ",3,2415576,94.65
"36",35,2007,"Orange County, FL (OL)",45.7109892415116,11.6,15.6,"50988 ",3.7,253722,94.65
"37",36,2007,"Palm Beach County, FL (PB)",45.1427337275774,10.2,15.2,"53500 ",4.2,1286586,94.65
"38",37,2007,"Philadelphia, PA (PH)",54.2004018542136,23.5,34,"35431 ",6.2,1493309,92.4
"39",38,2007,"San Diego, CA (SA)",43.6286295014108,11.1,14.9,"61724 ",4.8,2975742,104.56
"40",39,2007,"San Francisco, CA (SF)",32.7082379024911,10.6,12.7,"67333 ",4.2,778673,104.56
"41",40,2009,"Borough of Bronx, NY (NYG)",45.6586929692236,28.3,39.4,"32888 ",13.3,1376261,141.9
"42",41,2009,"Borough of Brooklyn, NY (NYH)",48.823832162952,21.7,31.2,"42932 ",10.6,2487751,141.9
"43",42,2009,"Borough of Manhattan, NY (NYI)",44.541677260304,16.6,25.4,"68295 ",8.6,1583431,141.9
"44",43,2009,"Borough of Queens, NY (NYJ)",37.4832158731325,12.9,16.7,"54671 ",8.9,2217166,141.9
"45",44,2009,"Borough of Staten Island, NY (NYK)",42.5604143502554,11.4,15.7,"65388 ",8.7,466965,141.9
"46",45,2009,"Broward County, FL (FT)",51.5322274890638,13,16.3,"48772 ",9.1,1733310,126.7
"47",46,2009,"Chicago, IL (CH)",56.3046398712511,16,23.2,"52516 ",11.4,5181728,132.36
"48",47,2009,"Los Angeles, CA (LO)",40.8971031810155,16,22.8,"54375 ",12.1,9787400,136.75
"49",48,2009,"Miami-Dade County, FL (MM)",47.4145027247775,17.7,24,"41367 ",11,2463943,126.7
"50",49,2009,"Orange County, FL (OL)",46.355546167877,14.3,19.2,"46826 ",10.6,265267,126.7
"51",50,2009,"Palm Beach County, FL (PB)",48.4968833707301,14.4,21.5,"49660 ",10.5,1307371,126.7
"52",51,2009,"Philadelphia, PA (PH)",52.6782971401517,24.5,32.8,"36959 ",9.5,1514694,118.4
"53",52,2009,"San Diego, CA (SA)",38.0852794198869,12.5,16.8,"60103 ",10.3,3061203,136.75
"54",53,2009,"San Francisco, CA (SF)",34.3143699751016,11.7,14.1,"70247 ",9.3,801922,136.75
"55",54,2011,"Borough of Bronx, NY (NYG)",41.557567130465,30.3,40.9,"32137 ",12.1,1397335,148.63
"56",55,2011,"Borough of Brooklyn, NY (NYH)",48.467063179209,23.6,33.8,"42437 ",9.6,2540817,148.63
"57",56,2011,"Borough of Manhattan, NY (NYI)",35.804974601762,18.4,26.7,"65833 ",7.9,1608293,148.63
"58",57,2011,"Borough of Queens, NY (NYJ)",30.0830750074579,16,21.8,"53124 ",8.1,2255482,148.63
"59",58,2011,"Borough of Staten Island, NY (NYK)",35.9239416329961,12.5,18.5,"69436 ",9.1,471021,148.63
"60",59,2011,"Broward County, FL (FT)",42.1671779945458,14.9,20.5,"48478 ",8.7,1786980,139.55
"61",60,2011,"Chicago, IL (CH)",52.6716214727738,17.8,26.6,"50806 ",9.8,5219780,139.15
"62",61,2011,"Los Angeles, CA (LO)",38.1100849098326,18.4,25.9,"52239 ",11.5,9876482,147.06
"63",62,2011,"Miami-Dade County, FL (MM)",44.2423175403882,20.9,28.9,"40476 ",7.7,2544531,139.55
"64",63,2011,"Orange County, FL (OL)",43.0787992459107,18.5,25.8,"44635 ",9,1170579,139.55
"65",64,2011,"Palm Beach County, FL (PB)",44.162286635503,15.8,24.1,"48973 ",9,1336760,139.55
"66",65,2011,"Philadelphia, PA (PH)",51.4425237510484,27.9,38.7,"34433 ",10.1,1540466,128.4
"67",66,2011,"San Diego, CA (SA)",40.1070253128695,15.2,19.2,"59290 ",9.7,3137156,147.06
"68",67,2011,"San Francisco, CA (SF)",31.558013825694,13.8,16,"69354 ",7.3,815650,147.06
"69",68,2013,"Borough of Bronx, NY (NYG)",46.5346954047738,30.7,41.6,"33079 ",10.4,1421928,147.75
"70",69,2013,"Borough of Brooklyn, NY (NYH)",38.3330843886161,23.3,33.3,"47067 ",8.2,2587684,147.75
"71",70,2013,"Borough of Manhattan, NY (NYI)",33.3612637560685,19,26.6,"71443 ",6.4,1627491,147.75
"72",71,2013,"Borough of Queens, NY (NYJ)",35.9098016150015,15.4,21.6,"56307 ",6.6,2287185,147.75
"73",72,2013,"Borough of Staten Island, NY (NYK)",38.102365478101,13.1,19,"68621 ",7.7,471803,147.75
"74",73,2013,"Broward County, FL (FT)",23.7554444602903,15.2,19.5,"50343 ",6.2,1836600,138.39
"75",74,2013,"Chicago, IL (CH)",34.1383211936921,17.8,26,"53795 ",8.7,5252875,137.99
"76",75,2013,"Los Angeles, CA (LO)",26.7339182559529,19,27.4,"54443 ",8.6,9992484,151.44
"77",76,2013,"Miami-Dade County, FL (MM)",33.9356072171094,21,27.8,"41840 ",7.7,2609692,138.39
"78",77,2013,"Orange County, FL (OL)",30.4676830531982,18.2,26,"46675 ",6.2,1227435,138.39
"79",78,2013,"Palm Beach County, FL (PB)",37.7014088113729,15,22.7,"51768 ",6.4,1376462,138.39
"80",79,2013,"Philadelphia, PA (PH)",41.2703056167401,26,36.3,"36918 ",8.5,1558313,128.32
"81",80,2013,"San Diego, CA (SA)",26.8879539978329,15.3,19.4,"61365 ",6.9,3209768,151.44
"82",81,2013,"San Francisco, CA (SF)",27.7083578810535,13.8,14.4,"76933 ",4.6,839572,151.44
"83",82,2015,"Borough of Bronx, NY (NYG)",32.0179568698543,30.3,42.6,"35102 ",6.9,1440005,138.09
"84",83,2015,"Borough of Brooklyn, NY (NYH)",32.1389254774927,22.3,31.5,"51026 ",5.1,2608794,138.09
"85",84,2015,"Borough of Manhattan, NY (NYI)",33.1216810994134,17.6,24.9,"75136 ",4.3,1636063,138.09
"86",85,2015,"Borough of Queens, NY (NYJ)",30.6694684435156,13.9,19.6,"60241 ",4.4,2305838,138.09
"87",86,2015,"Borough of Staten Island, NY (NYK)",36.6675589085696,14.2,18.3,"71058 ",5,472349,138.09
"88",87,2015,"Broward County, FL (FT)",29.6017337881588,14,20.3,"53624 ",4.6,1885040,129.66
"89",88,2015,"Los Angeles, CA (LO)",25.8791808898916,16.7,23.5,"59045 ",5.5,10085416,142
"90",89,2015,"Miami-Dade County, FL (MM)",33.5020703684671,20,27.3,"43687 ",6.2,2659839,129.66
"91",90,2015,"Orange County, FL (OL)",32.4591964948021,15.6,22.6,"50593 ",4.5,1291301,129.66
"92",91,2015,"Palm Beach County, FL (PB)",34.6557301157641,13.5,20.8,"56638 ",4.7,1424256,129.66
"93",92,2015,"Philadelphia, PA (PH)",43.5590439521979,25.4,38.4,"41210 ",6.2,1571065,123.16
"94",93,2015,"San Diego, CA (SA)",27.8460991184912,13.9,17.8,"67053 ",4.7,3280850,142
"95",94,2015,"San Francisco, CA (SF)",24.824759228429,12.4,13.5,"90527 ",3.2,863010,142
"96",95,2017,"Borough of Bronx, NY (NYG)",43.281767989377,27.9,39.3,"37377 ",5.6,1440625,135.63
"97",96,2017,"Borough of Brooklyn, NY (NYH)",40.8074519561721,19.8,26.7,"56548 ",4.1,2594676,135.63
"98",97,2017,"Borough of Manhattan, NY (NYI)",31.3517091758809,16.3,23.4,"84133 ",3.6,1630698,135.63
"99",98,2017,"Borough of Queens, NY (NYJ)",38.4170874984377,12.2,16.3,"64046 ",3.5,2295808,135.63
"100",99,2017,"Borough of Staten Island, NY (NYK)",34.9246439920371,11.9,16.8,"78466 ",3.9,475671,135.63
"101",100,2017,"Broward County, FL (FT)",24.7910854788361,13.1,18,"56702 ",3.6,1934516,125.09
"102",101,2017,"Chicago, IL (CH)",33.3871731197645,14.6,20.5,"61401 ",4.6,5200821,129.99
"103",102,2017,"Los Angeles, CA (LO)",24.2816090935324,14.9,20.9,"64912 ",4.4,10103711,136.44
"104",103,2017,"Miami-Dade County, FL (MM)",28.4870860550849,16.7,22,"49758 ",5,2713295,125.09
"105",104,2017,"Orange County, FL (OL)",33.028156376174,15.3,21.9,"54021 ",3.4,1355921,125.09
"106",105,2017,"Palm Beach County, FL (PB)",30.5381752242095,11.8,16.8,"60059 ",3.7,1470344,125.09
"107",106,2017,"Philadelphia, PA (PH)",33.4555169907593,25.3,31.9,"40193 ",5.8,1580601,120.88
"108",107,2017,"San Diego, CA (SA)",19.5296461779978,11.9,15.7,"76048 ",3.4,3321237,136.44
"109",108,2017,"San Francisco, CA (SF)",26.083826650087,10.1,12.3,"109601 ",2.5,878040,136.44
"110",109,2019,"Borough of Bronx, NY (NYG)",41.9330060948131,26.2,36.5,"41470 ",4.2,1418207,160.46
"111",110,2019,"Borough of Brooklyn, NY (NYH)",36.6938469843894,17.7,24.7,"66501 ",3.1,2559903,160.46
"112",111,2019,"Borough of Manhattan, NY (NYI)",32.3271301067354,14.1,17.3,"93007 ",2.7,1628706,160.46
"113",112,2019,"Borough of Queens, NY (NYJ)",36.0376675117711,11,14.4,"72975 ",2.6,2253858,160.46
"114",113,2019,"Borough of Staten Island, NY (NYK)",48.988356042298,9.1,13.9,"86624 ",2.9,476143,160.46
"115",114,2019,"Broward County, FL (FT)",25.5716027314271,12.3,16.4,"61429 ",2.9,1952778,157.56
"116",115,2019,"Chicago, IL (CH)",30.0015060808012,13,18.2,"69375 ",3.2,5150233,150.34
"117",116,2019,"Los Angeles, CA (LO)",30.1966551966552,13.4,18.3,"72721 ",4.3,10039107,151.1
"118",117,2019,"Orange County, FL (OL)",27.7757673062614,12.6,17.9,"63133 ",2.8,1393452,157.56
"119",118,2019,"Palm Beach County, FL (PB)",32.7560941267272,11.4,16,"66621 ",3.1,1496770,157.56
"120",119,2019,"Philadelphia, PA (PH)",32.1846742406677,23,31.6,"47598 ",5.3,1584064,150.88
"121",120,2019,"San Diego, CA (SA)",17.109393343556,10.3,12.8,"83576 ",3,3338330,151.1
"122",121,2019,"San Francisco, CA (SF)",26.9029572535108,9.5,9.3,"121795 ",2,881549,151.1
