year,sitename,sex,violence score
2003,"Borough of Bronx, NY (NYG)",1.0,36.33419932979405
2003,"Borough of Bronx, NY (NYG)",2.0,64.92267920952403
2003,"Borough of Brooklyn, NY (NYH)",1.0,26.941435821565666
2003,"Borough of Brooklyn, NY (NYH)",2.0,69.22551313366465
2003,"Borough of Manhattan, NY (NYI)",1.0,26.213590573336823
2003,"Borough of Manhattan, NY (NYI)",2.0,57.5318583872538
2003,"Borough of Queens, NY (NYJ)",1.0,28.504300398573527
2003,"Borough of Queens, NY (NYJ)",2.0,64.9769452568105
2003,"Borough of Staten Island, NY (NYK)",1.0,31.38074952108936
2003,"Borough of Staten Island, NY (NYK)",2.0,70.1114561517537
2003,"Broward County, FL (FT)",1.0,25.68518119178912
2003,"Broward County, FL (FT)",2.0,56.17160104320306
2003,"Chicago, IL (CH)",1.0,42.50219471643074
2003,"Chicago, IL (CH)",2.0,71.92587513450161
2003,"Los Angeles, CA (LO)",1.0,29.5929707300303
2003,"Los Angeles, CA (LO)",2.0,69.90152889349572
2003,"Miami-Dade County, FL (MM)",1.0,25.843467116638024
2003,"Miami-Dade County, FL (MM)",2.0,56.93252956178994
2003,"New York City, NY (NYC)",1.0,29.70480577174673
2003,"New York City, NY (NYC)",2.0,65.47522663192765
2003,"Orange County, FL (OL)",1.0,20.322129337357058
2003,"Orange County, FL (OL)",2.0,47.60767424638769
2003,"Palm Beach County, FL (PB)",1.0,25.228191211305038
2003,"Palm Beach County, FL (PB)",2.0,77.94727224916303
2003,"Philadelphia, PA (PH)",1.0,29.84251295558197
2003,"Philadelphia, PA (PH)",2.0,63.447696071586385
2003,"San Diego, CA (SA)",1.0,25.36344505539656
2003,"San Diego, CA (SA)",2.0,59.845279160765436
2005,"Borough of Bronx, NY (NYG)",1.0,30.461398398575188
2005,"Borough of Bronx, NY (NYG)",2.0,60.769948832345015
2005,"Borough of Brooklyn, NY (NYH)",1.0,39.94935705253712
2005,"Borough of Brooklyn, NY (NYH)",2.0,63.1455562208631
2005,"Borough of Manhattan, NY (NYI)",1.0,31.502363547016543
2005,"Borough of Manhattan, NY (NYI)",2.0,59.60556788991183
2005,"Borough of Queens, NY (NYJ)",1.0,28.302010772166668
2005,"Borough of Queens, NY (NYJ)",2.0,64.3379515454069
2005,"Borough of Staten Island, NY (NYK)",1.0,21.89504598500657
2005,"Borough of Staten Island, NY (NYK)",2.0,66.34498824545297
2005,"Broward County, FL (FT)",1.0,27.115407245954145
2005,"Broward County, FL (FT)",2.0,62.20192641683162
2005,"Chicago, IL (CH)",1.0,40.47325926914767
2005,"Chicago, IL (CH)",2.0,70.78748608943587
2005,"Los Angeles, CA (LO)",1.0,30.786820360757826
2005,"Los Angeles, CA (LO)",2.0,63.421787410098936
2005,"Miami-Dade County, FL (MM)",1.0,25.166158958737192
2005,"Miami-Dade County, FL (MM)",2.0,52.547099072077984
2005,"New York City, NY (NYC)",1.0,31.034547691603663
2005,"New York City, NY (NYC)",2.0,62.340052636551384
2005,"Orange County, FL (OL)",1.0,28.225705471889263
2005,"Orange County, FL (OL)",2.0,64.83245451638591
2005,"Palm Beach County, FL (PB)",1.0,32.216158384834614
2005,"Palm Beach County, FL (PB)",2.0,63.81445736688267
2005,"San Diego, CA (SA)",1.0,32.65552498455853
2005,"San Diego, CA (SA)",2.0,62.675393175830486
2005,"San Francisco, CA (SF)",1.0,28.408157488354927
2005,"San Francisco, CA (SF)",2.0,52.01541850220264
2007,"Borough of Bronx, NY (NYG)",1.0,36.1584794769804
2007,"Borough of Bronx, NY (NYG)",2.0,56.14200079717187
2007,"Borough of Brooklyn, NY (NYH)",1.0,31.052157173774617
2007,"Borough of Brooklyn, NY (NYH)",2.0,57.544363830678584
