year,sitename,violence score
2003,"Borough of Bronx, NY (NYG)",50.607216622220186
2003,"Borough of Brooklyn, NY (NYH)",49.206475285037236
2003,"Borough of Manhattan, NY (NYI)",40.480688037217895
2003,"Borough of Queens, NY (NYJ)",45.62581747207907
2003,"Borough of Staten Island, NY (NYK)",50.833642249368516
2003,"Broward County, FL (FT)",39.98544038723462
2003,"Chicago, IL (CH)",56.898184363292025
2003,"Los Angeles, CA (LO)",48.993759523681
2003,"Miami-Dade County, FL (MM)",40.2900367953734
2003,"New York City, NY (NYC)",47.233165864935756
2003,"Orange County, FL (OL)",33.2087101012443
2003,"Palm Beach County, FL (PB)",50.25002043908462
2003,"Philadelphia, PA (PH)",44.9816346373141
2003,"San Diego, CA (SA)",41.558135345069914
2005,"Borough of Bronx, NY (NYG)",46.16218134747478
2005,"Borough of Brooklyn, NY (NYH)",51.459055368812244
2005,"Borough of Manhattan, NY (NYI)",44.53867897290702
2005,"Borough of Queens, NY (NYJ)",46.04102856878342
2005,"Borough of Staten Island, NY (NYK)",43.23173270021637
2005,"Broward County, FL (FT)",44.09409191201559
2005,"Chicago, IL (CH)",54.78401925030547
2005,"Los Angeles, CA (LO)",45.52321644832658
2005,"Miami-Dade County, FL (MM)",38.195135056922894
2005,"New York City, NY (NYC)",46.39222934868702
2005,"Orange County, FL (OL)",45.849496222987895
2005,"Palm Beach County, FL (PB)",47.04713166733025
2005,"San Diego, CA (SA)",47.38167986857388
2005,"San Francisco, CA (SF)",40.65114455754866
2007,"Borough of Bronx, NY (NYG)",47.10197505548858
2007,"Borough of Brooklyn, NY (NYH)",43.68777815238961
2007,"Borough of Manhattan, NY (NYI)",33.76066387418735
2007,"Borough of Queens, NY (NYJ)",40.38179148311307
2007,"Borough of Staten Island, NY (NYK)",34.27868136840353
2007,"Broward County, FL (FT)",39.995813924378275
2007,"Chicago, IL (CH)",52.16728235317359
2007,"Los Angeles, CA (LO)",47.94147547192377
2007,"Miami-Dade County, FL (MM)",45.43812627715677
2007,"New York City, NY (NYC)",40.02129681568878
2007,"Orange County, FL (OL)",45.56713525753144
2007,"Palm Beach County, FL (PB)",44.62980843374302
